object,color,seed,prompt,path,object_correct,color_correct,annotator
polar bear,yellow,1,a photo of a yellow polar bear,polar_bear/yellow/seed_0001.png,1,0,Gabriel
shoe,black,21,a photo of a black shoe,shoe/black/seed_0021.png,1,1,Gabriel
shoe,black,20,a photo of a black shoe,shoe/black/seed_0020.png,1,1,Gabriel
shoe,black,3,a photo of a black shoe,shoe/black/seed_0003.png,1,1,Gabriel
shoe,blue,1,a photo of a blue shoe,shoe/blue/seed_0001.png,1,1,Gabriel
shoe,blue,12,a photo of a blue shoe,shoe/blue/seed_0012.png,1,1,Gabriel
shoe,blue,23,a photo of a blue shoe,shoe/blue/seed_0023.png,1,1,Gabriel
shoe,brown,10,a photo of a brown shoe,shoe/brown/seed_0010.png,1,1,Gabriel
shoe,brown,25,a photo of a brown shoe,shoe/brown/seed_0025.png,1,1,Gabriel
shoe,brown,27,a photo of a brown shoe,shoe/brown/seed_0027.png,1,1,Gabriel
shoe,green,3,a photo of a green shoe,shoe/green/seed_0003.png,1,1,Gabriel
shoe,green,7,a photo of a green shoe,shoe/green/seed_0007.png,1,1,Gabriel
shoe,green,6,a photo of a green shoe,shoe/green/seed_0006.png,1,1,Gabriel
shoe,orange,6,a photo of a orange shoe,shoe/orange/seed_0006.png,1,1,Gabriel
shoe,orange,17,a photo of a orange shoe,shoe/orange/seed_0017.png,1,1,Gabriel
shoe,orange,14,a photo of a orange shoe,shoe/orange/seed_0014.png,1,1,Gabriel
shoe,pink,4,a photo of a pink shoe,shoe/pink/seed_0004.png,1,1,Gabriel
shoe,pink,13,a photo of a pink shoe,shoe/pink/seed_0013.png,1,1,Gabriel
shoe,pink,5,a photo of a pink shoe,shoe/pink/seed_0005.png,1,1,Gabriel
shoe,purple,8,a photo of a purple shoe,shoe/purple/seed_0008.png,1,1,Gabriel
shoe,purple,14,a photo of a purple shoe,shoe/purple/seed_0014.png,1,1,Gabriel
shoe,purple,7,a photo of a purple shoe,shoe/purple/seed_0007.png,1,1,Gabriel
shoe,red,27,a photo of a red shoe,shoe/red/seed_0027.png,1,1,Gabriel
shoe,red,29,a photo of a red shoe,shoe/red/seed_0029.png,1,1,Gabriel
shoe,red,2,a photo of a red shoe,shoe/red/seed_0002.png,1,1,Gabriel
shoe,white,14,a photo of a white shoe,shoe/white/seed_0014.png,1,1,Gabriel
shoe,white,25,a photo of a white shoe,shoe/white/seed_0025.png,1,1,Gabriel
shoe,white,27,a photo of a white shoe,shoe/white/seed_0027.png,1,1,Gabriel
shoe,yellow,27,a photo of a yellow shoe,shoe/yellow/seed_0027.png,1,1,Gabriel
shoe,yellow,17,a photo of a yellow shoe,shoe/yellow/seed_0017.png,1,1,Gabriel
shoe,yellow,3,a photo of a yellow shoe,shoe/yellow/seed_0003.png,1,1,Gabriel
